name,genderRank,divRank,overallRank,bib,division,age,state,country,profession,points,swim,swimDistance,t1,bike,bikeDistance,t2,run,runDistance,overall
Jakub Bielecki,72,13,74,737,30-34,32,Mazowieckie,POL,---,4687,01:09:33,3.9 km,00:02:58,04:42:47,180.2 km,00:03:04,03:22:30,42.2 km,09:20:52
Leslie De Cuyper,73,14,75,152,35-39,35,---,BEL,---,4597,01:14:14,3.9 km,00:04:30,04:53:41,180.2 km,00:03:19,03:05:13,42.2 km,09:20:57
Fabrizio Ciavatta,74,15,76,85,35-39,38,Italia,ITA,---,4595,01:05:04,3.9 km,00:03:59,04:48:55,180.2 km,00:03:01,03:20:06,42.2 km,09:21:05
Maus Andreas,75,16,77,360,35-39,---,DE,DEU,---,4587,01:03:42,3.9 km,00:03:07,04:49:53,180.2 km,00:03:48,03:21:16,42.2 km,09:21:46
Alessandro Robustelli,76,4,78,1552,45-49,45,Italia,ITA,---,4764,01:08:28,3.9 km,00:04:27,04:47:22,180.2 km,00:04:17,03:17:17,42.2 km,09:21:51
Mario Salvador Peris,77,12,79,1337,40-44,40,ES,ESP,---,4717,01:08:46,3.9 km,00:04:00,04:51:41,180.2 km,00:03:02,03:14:32,42.2 km,09:22:01
Antonio Jose Adell Reverter,79,13,81,77,40-44,42,ES,ESP,---,4712,01:11:37,3.9 km,00:04:32,04:45:49,180.2 km,00:03:07,03:17:24,42.2 km,09:22:29
Jerome Allain,80,14,82,250,40-44,42,FR,FRA,---,4710,01:07:37,3.9 km,00:03:00,04:46:32,180.2 km,00:09:48,03:15:38,42.2 km,09:22:35
Simon Sauter,81,14,83,331,30-34,33,DE,DEU,---,4665,01:02:11,3.9 km,00:03:04,05:03:20,180.2 km,00:03:40,03:10:23,42.2 km,09:22:38
Olivier Philippe,82,15,84,110,40-44,43,FR,FRA,---,4699,01:10:17,3.9 km,00:03:41,04:46:31,180.2 km,00:03:15,03:19:50,42.2 km,09:23:34
Simon Lovelock,83,15,85,102,30-34,33,---,GBR,---,4653,01:09:18,3.9 km,00:04:13,04:58:21,180.2 km,00:03:00,03:08:49,42.2 km,09:23:41
Aled Jones,84,16,86,353,30-34,30,Devon,GBR,---,4644,01:01:43,3.9 km,00:03:08,04:42:48,180.2 km,00:03:31,03:33:15,42.2 km,09:24:25
Iker Baztarrika,85,17,87,901,35-39,34,GIPUZKOA,ESP,---,4554,01:08:43,3.9 km,00:03:51,04:49:22,180.2 km,00:03:57,03:18:39,42.2 km,09:24:32
Florian Grammont,86,13,88,643,25-29,28,FR,FRA,---,4624,01:01:33,3.9 km,00:02:58,04:42:20,180.2 km,00:03:56,03:33:48,42.2 km,09:24:35
Stefan Drexl,87,5,89,1446,45-49,44,DE,DEU,---,4729,00:59:17,3.9 km,00:02:50,04:53:54,180.2 km,00:02:57,03:25:47,42.2 km,09:24:45
Christophe Terzi,88,16,90,119,40-44,43,FR,FRA,---,4676,01:03:33,3.9 km,00:04:15,04:46:28,180.2 km,00:04:39,03:26:33,42.2 km,09:25:28
Torben Hoffmeister,89,14,91,655,25-29,28,DE,DEU,---,4601,01:06:30,3.9 km,00:03:42,04:53:17,180.2 km,00:04:48,03:18:12,42.2 km,09:26:29
Frédéric Sultana,90,2,92,232,50-54,53,FR,FRA,---,4749,01:03:45,3.9 km,00:04:38,04:46:27,180.2 km,00:02:44,03:29:17,42.2 km,09:26:51
Marcus Offenhuber,91,6,93,203,45-49,47,---,AUT,---,4703,01:08:33,3.9 km,00:04:48,04:53:56,180.2 km,00:03:43,03:15:58,42.2 km,09:26:58
Oliver Heil,92,18,94,991,35-39,36,DE,DEU,---,4524,01:02:56,3.9 km,00:03:24,04:58:03,180.2 km,00:03:26,03:19:12,42.2 km,09:27:01
Julien Leper,93,15,95,667,25-29,28,FR,BEL,---,4590,01:01:29,3.9 km,00:04:09,04:39:18,180.2 km,00:04:06,03:38:22,42.2 km,09:27:24
David Bonnal,94,17,96,1140,40-44,41,FR,FRA,---,4646,00:59:06,3.9 km,00:03:08,04:44:52,180.2 km,00:02:37,03:38:13,42.2 km,09:27:56
Kelly Fillnow,3,3,97,59,PRO,33,NC,USA,---,4828,01:09:12,3.9 km,00:02:57,05:02:54,180.2 km,00:03:08,03:09:45,42.2 km,09:27:56
Jano Soto,95,7,98,1574,45-49,46,Puebla,MEX,---,4678,01:07:41,3.9 km,00:03:49,04:48:21,180.2 km,00:03:54,03:25:17,42.2 km,09:29:02
Christian Storck,96,18,99,230,40-44,42,DE,DEU,---,4622,01:09:03,3.9 km,00:03:48,04:54:14,180.2 km,00:04:19,03:18:35,42.2 km,09:29:59
David Caldeirao,97,19,100,1151,40-44,43,ALGARVE,PRT,---,4604,01:03:57,3.9 km,00:04:36,04:47:33,180.2 km,00:05:00,03:30:21,42.2 km,09:31:27
Israel Ferrer Virgos,98,19,101,160,35-39,36,ES,ESP,---,4468,01:13:36,3.9 km,00:03:16,04:48:38,180.2 km,00:02:58,03:23:12,42.2 km,09:31:40
Fabien Carton,99,17,102,754,30-34,31,FR,FRA,---,4549,01:05:54,3.9 km,00:04:14,04:52:22,180.2 km,00:05:36,03:24:12,42.2 km,09:32:18
Julien Marec,100,18,103,826,30-34,32,FR,FRA,---,4548,01:11:49,3.9 km,00:04:35,04:49:48,180.2 km,00:02:53,03:23:20,42.2 km,09:32:25
Fabien Mougeot,101,16,104,683,25-29,26,FR,FRA,---,4524,01:14:51,3.9 km,00:05:30,04:44:03,180.2 km,00:03:19,03:25:15,42.2 km,09:32:58
Luca Bertaccini,102,19,105,79,30-34,32,lazio,ITA,---,4541,00:54:45,3.9 km,00:02:58,04:44:35,180.2 km,00:04:32,03:46:11,42.2 km,09:33:01
Gabriele Indraccolo,103,20,106,996,35-39,---,ITALIA,ITA,---,4451,01:07:36,3.9 km,00:03:32,04:56:42,180.2 km,00:03:57,03:21:18,42.2 km,09:33:05
Philipp Cohrs,104,20,107,761,30-34,31,DE,DEU,---,4528,01:12:10,3.9 km,00:05:52,04:40:16,180.2 km,00:03:27,03:32:20,42.2 km,09:34:05
Lauren Capone,4,4,108,63,PRO,27,CA,USA,---,4754,01:00:28,3.9 km,00:04:23,05:24:07,180.2 km,00:03:49,03:01:19,42.2 km,09:34:06
James Beechey,105,21,109,734,30-34,34,---,GBR,---,4525,00:55:34,3.9 km,00:04:02,04:50:16,180.2 km,00:04:05,03:40:23,42.2 km,09:34:20
Daniel D.O. Hesse,106,21,110,94,35-39,36,DE,DEU,---,4436,01:16:56,3.9 km,00:03:40,04:47:35,180.2 km,00:04:21,03:21:50,42.2 km,09:34:22
Pablo Ureta,107,22,111,124,35-39,37,Other,ARG,---,4435,01:00:11,3.9 km,00:02:31,04:55:23,180.2 km,00:05:35,03:30:49,42.2 km,09:34:29
Fabian Bruchmann,108,23,112,928,35-39,36,DE,DEU,---,4434,01:00:51,3.9 km,00:03:04,04:50:45,180.2 km,00:02:54,03:36:57,42.2 km,09:34:31
Roberto Tedde,109,8,113,235,45-49,47,ROMA,ITA,---,4609,01:07:53,3.9 km,00:03:09,04:51:50,180.2 km,00:02:38,03:29:15,42.2 km,09:34:45
Sébastien Jorry,110,22,114,807,30-34,29,FR,FRA,---,4517,01:10:06,3.9 km,00:07:38,04:45:38,180.2 km,00:06:05,03:25:31,42.2 km,09:34:58
Robbie Whitaker,111,17,115,130,25-29,28,---,GBR,---,4497,01:11:29,3.9 km,00:03:10,04:39:10,180.2 km,00:02:53,03:38:29,42.2 km,09:35:11
Gaël Moita,112,24,116,1043,35-39,37,CH,FRA,---,4424,01:03:40,3.9 km,00:03:23,04:54:38,180.2 km,00:03:24,03:30:17,42.2 km,09:35:22
Stephane Renaud,113,9,117,1547,45-49,46,---,FRA,---,4599,01:05:28,3.9 km,00:03:27,04:48:46,180.2 km,00:03:19,03:34:38,42.2 km,09:35:38
Keiko Tanaka,5,5,118,57,PRO,31,Intl State,JPN,---,4734,00:55:56,3.9 km,00:02:37,05:11:09,180.2 km,00:03:16,03:22:48,42.2 km,09:35:46
Alexander Aguirreche,114,23,119,726,30-34,34,ES,ESP,---,4506,01:04:32,3.9 km,00:04:14,04:41:55,180.2 km,00:03:25,03:41:50,42.2 km,09:35:56
Thomas Bignoneau,115,3,120,143,18-24,23,---,FRA,---,4519,01:12:46,3.9 km,00:04:17,04:37:07,180.2 km,00:03:36,03:38:43,42.2 km,09:36:29
Andoni Ibarbia Aizpuru,116,25,121,994,35-39,38,ES,ESP,---,4409,01:17:08,3.9 km,00:06:05,04:51:19,180.2 km,00:03:58,03:18:08,42.2 km,09:36:38
Dwight Senduk,117,26,122,225,35-39,39,---,NLD,---,4409,00:55:00,3.9 km,00:03:21,05:06:24,180.2 km,00:03:52,03:28:01,42.2 km,09:36:38
Marc Pury,118,10,123,215,45-49,46,CH,CHE,---,4579,01:02:49,3.9 km,00:03:20,04:55:15,180.2 km,00:03:12,03:32:40,42.2 km,09:37:16
Holger Steinhardt,119,24,124,869,30-34,34,---,DEU,---,4489,01:03:05,3.9 km,00:03:48,05:00:04,180.2 km,00:04:40,03:25:42,42.2 km,09:37:19
Gorka Bizkarra Etxegibel,120,25,125,741,30-34,31,---,ESP,---,4487,01:07:33,3.9 km,00:03:37,04:53:34,180.2 km,00:04:24,03:28:23,42.2 km,09:37:31
Dimitri Kotskos,121,27,126,1008,35-39,38,---,FRA,---,4396,01:14:35,3.9 km,00:02:59,04:57:28,180.2 km,00:03:27,03:19:14,42.2 km,09:37:43
Rafal Medak,122,11,127,105,45-49,44,---,POL,---,4572,01:14:49,3.9 km,00:04:43,04:45:08,180.2 km,00:04:16,03:28:56,42.2 km,09:37:52
Andrew Savery,123,26,128,863,30-34,34,---,GBR,---,4480,01:20:14,3.9 km,00:04:59,05:14:53,180.2 km,00:03:03,02:54:55,42.2 km,09:38:04
Thomas Joannier,124,27,129,805,30-34,30,---,FRA,---,4475,01:02:56,3.9 km,00:03:23,05:02:17,180.2 km,00:02:28,03:27:27,42.2 km,09:38:31
Brooke Brown,6,6,130,58,PRO,36,ON,CAN,---,4701,01:06:02,3.9 km,00:03:23,05:05:14,180.2 km,00:03:41,03:20:14,42.2 km,09:38:34
Arnaud Bouvier,125,3,131,81,50-54,50,---,FRA,---,4606,01:16:55,3.9 km,00:03:20,04:56:08,180.2 km,00:04:37,03:17:45,42.2 km,09:38:45
Juan Luis Soriano Pastor,126,20,132,1899,40-44,44,ES,ESP,---,4511,01:04:08,3.9 km,00:05:19,04:50:07,180.2 km,00:05:59,03:33:40,42.2 km,09:39:13
Thierry Perin,127,12,133,1893,45-49,49,FR,FRA,---,4552,01:05:13,3.9 km,00:03:36,04:56:28,180.2 km,00:04:49,03:29:28,42.2 km,09:39:34
Jerome Benoit,128,21,134,1132,40-44,39,FR,FRA,---,4503,01:23:28,3.9 km,00:04:35,04:53:19,180.2 km,00:02:28,03:16:04,42.2 km,09:39:54
Giulio Pavarotti,129,28,135,1052,35-39,35,---,ITA,---,4369,01:05:46,3.9 km,00:03:01,04:53:19,180.2 km,00:02:59,03:34:51,42.2 km,09:39:56
Michael Noll,130,13,136,1528,45-49,49,DE,DEU,---,4543,01:07:43,3.9 km,00:03:21,04:47:19,180.2 km,00:04:45,03:37:07,42.2 km,09:40:15
Timo Ruohoalho,131,29,137,328,35-39,36,Etelä-Suomi,FIN,---,4359,01:11:40,3.9 km,00:05:19,05:08:33,180.2 km,00:03:21,03:11:53,42.2 km,09:40:46
Guillaume Naddeo,132,22,138,108,40-44,42,FR,FRA,---,4490,01:07:38,3.9 km,00:02:37,05:08:16,180.2 km,00:02:18,03:20:10,42.2 km,09:40:59
Pierre Elisseix,133,23,139,1191,40-44,43,France,FRA,---,4485,01:05:26,3.9 km,00:04:28,04:57:09,180.2 km,00:05:39,03:28:40,42.2 km,09:41:22
Frédéric Martin,134,24,140,1274,40-44,42,FR,FRA,---,4485,01:18:36,3.9 km,00:04:41,05:00:37,180.2 km,00:05:07,03:12:22,42.2 km,09:41:23
