name,genderRank,divRank,overallRank,bib,division,age,state,country,profession,points,swim,swimDistance,t1,bike,bikeDistance,t2,run,runDistance,overall
Katharina Grohmann,---,651,---,523,18-24,29,---,---,---,---,01:11:44,3.9 km,00:04:39,05:39:47,180.2 km,00:01:05,04:02:35,42.2 km,10:59:50
Chrisitan Gross,---,79,---,1426,30-34,---,GER,---,---,---,01:05:13,3.9 km,00:02:59,05:05:06,180.2 km,00:01:15,03:21:46,42.2 km,09:36:19
Heiko Grothmann,---,1901,---,1427,30-34,---,GER,---,---,---,01:19:20,3.9 km,00:05:45,06:12:00,180.2 km,00:04:13,06:10:16,42.2 km,13:51:34
Cordula Gruber,---,365,---,172,45-49,54,DE,---,---,---,00:59:12,3.9 km,00:03:44,05:29:29,180.2 km,00:03:58,03:51:32,42.2 km,10:27:55
Peter Gruber,---,729,---,1429,35-39,41,AT,---,---,---,01:27:19,3.9 km,00:05:20,05:25:04,180.2 km,00:02:29,04:09:13,42.2 km,11:09:25
Christian Grubhofer,---,1555,---,1430,35-39,43,AT,---,---,---,01:07:15,3.9 km,00:04:05,05:40:40,180.2 km,00:02:00,05:56:05,42.2 km,12:50:05
Michael Grün,---,---,DNS,1431,35-39,42,---,---,---,---,---,3.9 km,---,---,180.2 km,---,---,42.2 km,DNS
Karl Gruner,---,901,---,1432,50-54,---,USA,---,---,---,01:13:03,3.9 km,00:05:22,05:35:20,180.2 km,00:02:18,04:33:14,42.2 km,11:29:17
Jaroslaw Grzelec,---,302,---,1433,45-49,54,Pomorskie,POL,---,---,01:15:19,3.9 km,00:03:32,05:26:30,180.2 km,00:01:37,03:33:11,42.2 km,10:20:09
Stefan Gudermann,---,1334,---,1434,30-34,---,GER,---,---,---,01:26:23,3.9 km,00:06:54,06:11:35,180.2 km,00:04:21,04:28:43,42.2 km,12:17:56
Eric Guenebaut,---,1212,---,1435,30-34,39,FR,---,---,---,01:15:01,3.9 km,00:10:03,05:50:48,180.2 km,00:06:29,04:37:50,42.2 km,12:00:11
Linda Guinoiseau,---,190,---,524,35-39,---,FRA,---,---,---,01:02:02,3.9 km,00:04:19,05:29:10,180.2 km,00:02:07,03:22:13,42.2 km,09:59:51
Tove Guldhav,---,1795,---,525,40-44,48,NO,---,---,---,01:36:25,3.9 km,00:04:23,06:11:26,180.2 km,00:05:21,05:32:08,42.2 km,13:29:43
Tilo Gumprecht,---,965,---,173,40-44,47,DE,---,---,---,01:17:14,3.9 km,00:06:48,06:16:24,180.2 km,00:03:34,03:52:02,42.2 km,11:36:02
Christian Gunther,---,1047,---,1437,35-39,41,---,GBR,---,---,01:21:50,3.9 km,00:07:29,05:38:48,180.2 km,00:04:41,04:31:07,42.2 km,11:43:55
Fred Günther,---,1585,---,1438,50-54,---,GER,---,---,---,01:30:21,3.9 km,00:06:33,05:56:55,180.2 km,00:08:17,05:11:50,42.2 km,12:53:56
Marcus Günther,---,347,---,1439,30-34,37,DE,---,---,---,01:12:24,3.9 km,00:04:59,05:09:11,180.2 km,00:01:39,03:57:33,42.2 km,10:25:46
Sonja Günther,---,1277,---,526,45-49,---,GER,---,---,---,01:25:13,3.9 km,00:06:53,06:01:59,180.2 km,00:04:14,04:30:42,42.2 km,12:09:01
Niklas Gustafson,---,906,---,1440,40-44,46,---,---,---,---,01:29:57,3.9 km,00:04:59,05:56:48,180.2 km,00:02:18,03:55:59,42.2 km,11:30:01
Christer Gustavsson,---,---,DNF,174,35-39,44,SE,---,---,---,01:18:29,3.9 km,00:04:59,05:19:25,180.2 km,00:02:01,---,42.2 km,DNF
Tomas Gustavsson,---,368,---,1441,45-49,53,SE,---,---,---,01:24:59,3.9 km,00:05:58,05:05:15,180.2 km,00:02:07,03:49:59,42.2 km,10:28:18
