name,genderRank,divRank,overallRank,bib,division,age,state,country,profession,points,swim,swimDistance,t1,bike,bikeDistance,t2,run,runDistance,overall
Nicky Simpson,---,18,102,308,30-34,34,---,GBR,---,3861,01:04:33,3.9 km,00:07:12,05:57:49,180.2 km,00:06:28,04:03:08,42.2 km,11:19:10
Josef Svoboda,---,15,103,16,PRO,39,Intl State,CZE,---,2905,01:14:27,3.9 km,00:05:58,05:39:00,180.2 km,00:02:35,04:18:25,42.2 km,11:20:25
Hao Yun Kuo,---,10,104,611,35-39,39,TW,TWN,---,3891,01:13:48,3.9 km,00:07:44,05:43:57,180.2 km,00:08:28,04:07:21,42.2 km,11:21:18
Yi Jun Chui,---,20,105,781,40-44,---,---,TWN,---,3936,01:25:38,3.9 km,00:06:07,05:45:32,180.2 km,00:04:34,04:00:06,42.2 km,11:21:57
Jeroen Nieuwkoop,---,21,106,682,40-44,45,---,NLD,---,3917,01:03:53,3.9 km,00:06:12,05:51:32,180.2 km,00:04:11,04:17:45,42.2 km,11:23:33
Katsuhisa Suzuki,---,4,107,992,50-54,54,東京都,JPN,---,3791,00:58:40,3.9 km,00:05:01,05:53:43,180.2 km,00:04:12,04:22:20,42.2 km,11:23:56
Bingning Ding,---,11,108,455,35-39,38,宁夏,CHN,---,3855,01:25:46,3.9 km,00:08:52,05:30:55,180.2 km,00:04:55,04:13:50,42.2 km,11:24:18
Giuseppe Musella,---,5,109,969,50-54,53,PR,BRA,---,3780,01:00:54,3.9 km,00:07:57,05:53:17,180.2 km,00:07:00,04:15:44,42.2 km,11:24:52
Yajima Nobuhiro,---,6,110,967,50-54,54,tokyo,JPN,---,3762,01:06:50,3.9 km,00:08:02,05:57:23,180.2 km,00:05:33,04:08:30,42.2 km,11:26:18
Guo Zhang Feng,---,22,111,782,40-44,---,---,TWN,---,3878,01:29:31,3.9 km,00:07:07,06:03:17,180.2 km,00:06:54,03:40:01,42.2 km,11:26:50
 ,---,3,112,237,18-24,25,東京都,JPN,---,4564,01:12:16,3.9 km,00:05:19,05:34:42,180.2 km,00:02:30,04:33:10,42.2 km,11:27:57
MUTSUMI AOKI,---,11,113,861,45-49,49,---,JPN,---,3684,00:59:46,3.9 km,00:05:38,06:07:20,180.2 km,00:05:36,04:11:26,42.2 km,11:29:46
Yuk Tong Lee,---,12,114,487,35-39,35,---,HKG,---,3786,01:12:16,3.9 km,00:05:18,06:15:13,180.2 km,00:04:17,03:52:59,42.2 km,11:30:03
Yan Zong Chen,---,13,115,617,35-39,---,---,TWN,---,3780,01:12:51,3.9 km,00:07:17,05:52:47,180.2 km,00:05:04,04:12:33,42.2 km,11:30:32
Songyao Duan,---,8,116,259,25-29,28,---,CHN,---,3379,01:14:05,3.9 km,00:06:26,05:49:47,180.2 km,00:04:14,04:16:50,42.2 km,11:31:22
Kazuo Shiba,---,1,117,1072,60-64,---,ehime,JPN,---,5000,01:10:06,3.9 km,00:07:16,06:01:19,180.2 km,00:05:32,04:07:23,42.2 km,11:31:36
makoto murai,---,23,118,677,40-44,40,---,JPN,---,3811,01:05:09,3.9 km,00:06:01,05:45:14,180.2 km,00:04:38,04:31:24,42.2 km,11:32:26
Mandy Tik,---,3,119,140,35-39,37,---,HKG,---,4473,01:07:06,3.9 km,00:05:43,06:32:34,180.2 km,00:04:24,03:43:08,42.2 km,11:32:55
Yasutaka Ueki,---,7,120,987,50-54,51,千葉県,JPN,---,3664,01:06:53,3.9 km,00:06:47,05:59:09,180.2 km,00:06:51,04:14:49,42.2 km,11:34:29
承佐 蔡,---,12,121,902,45-49,45,TW,TWN,---,3611,01:13:16,3.9 km,00:08:16,06:11:30,180.2 km,00:07:09,03:55:40,42.2 km,11:35:51
Nakamura Satoru,---,13,122,852,45-49,47,TOKYO,JPN,---,3609,01:10:11,3.9 km,00:07:02,06:04:57,180.2 km,00:04:42,04:09:11,42.2 km,11:36:03
Seiji Mineno,---,14,123,452,35-39,37,---,JPN,---,3686,01:01:36,3.9 km,00:05:59,06:06:20,180.2 km,00:06:01,04:18:25,42.2 km,11:38:21
