name,genderRank,divRank,overallRank,bib,division,age,state,country,profession,points,swim,swimDistance,t1,bike,bikeDistance,t2,run,runDistance,overall
Jörg Giesen,---,231,---,1464,40-44,---,---,DEU,---,---,01:12:35,3.9 km,00:02:50,05:12:28,180.2 km,00:02:41,03:34:55,42.2 km,10:05:29
Günther Gigler,---,1406,---,471,30-34,---,---,AUT,---,---,01:13:52,3.9 km,00:06:08,05:56:27,180.2 km,00:07:34,05:10:29,42.2 km,12:34:30
Werner Gigler,---,998,---,472,30-34,---,---,AUT,---,---,01:17:22,3.9 km,00:05:56,06:03:01,180.2 km,00:05:22,04:07:30,42.2 km,11:39:11
David Gilliland,---,1501,---,1465,40-44,---,---,GBR,---,---,01:14:43,3.9 km,00:12:57,06:25:10,180.2 km,00:10:06,04:41:57,42.2 km,12:44:53
Andreas Gindl,---,---,DNF,473,30-34,---,---,AUT,---,---,01:40:09,3.9 km,00:23:19,07:41:14,180.2 km,00:15:38,---,42.2 km,DNF
Stefano Giordani,---,1343,---,1466,40-44,---,---,ITA,---,---,01:15:05,3.9 km,00:05:14,06:03:21,180.2 km,00:05:47,04:55:00,42.2 km,12:24:27
Mauro Giorgi,---,361,---,2088,50-54,---,---,ITA,---,---,00:59:53,3.9 km,00:05:01,05:32:48,180.2 km,00:05:25,03:43:53,42.2 km,10:27:00
Ventura Giovanni-Maria,---,941,---,964,35-39,---,---,ITA,---,---,00:50:49,3.9 km,00:05:11,05:31:06,180.2 km,00:06:41,05:00:03,42.2 km,11:33:50
Vicenc Giralt-Berenguer,---,427,---,1467,40-44,---,---,ESP,---,---,01:02:18,3.9 km,00:03:15,05:20:06,180.2 km,00:03:00,04:07:46,42.2 km,10:36:25
Christian Girardi,---,1892,---,1885,45-49,---,---,AUT,---,---,01:25:20,3.9 km,00:10:52,06:35:46,180.2 km,00:07:02,06:10:38,42.2 km,14:29:38
Christian Girardi,---,1146,---,1468,40-44,---,---,ITA,---,---,01:14:31,3.9 km,00:05:34,05:32:22,180.2 km,00:04:07,05:00:47,42.2 km,11:57:21
Steffi Gladbach,---,864,---,2242,25-29,---,---,DEU,---,---,01:02:07,3.9 km,00:04:17,05:48:37,180.2 km,00:07:45,04:21:07,42.2 km,11:23:53
Tj Glanfield,---,1822,---,203,25-29,---,---,USA,---,---,01:13:07,3.9 km,00:06:55,06:46:11,180.2 km,00:08:05,05:44:55,42.2 km,13:59:13
Roman Glasl,---,229,---,474,30-34,---,---,AUT,---,---,01:05:09,3.9 km,00:03:25,05:07:34,180.2 km,00:03:22,03:45:17,42.2 km,10:04:47
Michael Gleeson,---,---,DNF,475,30-34,---,---,GBR,---,---,01:08:49,3.9 km,---,---,180.2 km,---,---,42.2 km,DNF
Sergio Gnani,---,1793,---,965,35-39,---,---,ITA,---,---,01:04:43,3.9 km,00:12:54,06:52:10,180.2 km,00:08:56,05:31:32,42.2 km,13:50:15
Dani Gnos,---,1475,---,476,30-34,---,---,CHE,---,---,01:21:44,3.9 km,00:09:04,05:32:09,180.2 km,---,05:39:16,42.2 km,12:42:13
Marco Gockus,---,68,---,966,35-39,47,DE,DEU,---,---,00:58:32,3.9 km,00:02:13,05:04:09,180.2 km,00:02:33,03:21:15,42.2 km,09:28:42
Paul Goggins,---,1759,---,2089,50-54,---,---,GBR,---,---,01:16:05,3.9 km,00:07:11,06:46:39,180.2 km,00:08:07,05:23:39,42.2 km,13:41:41
Mark Gold,---,1664,---,204,25-29,---,---,GBR,---,---,01:08:55,3.9 km,00:05:14,06:33:10,180.2 km,00:05:42,05:27:56,42.2 km,13:20:57
Vince Golding,---,825,---,1469,40-44,---,---,GBR,---,---,01:20:16,3.9 km,00:08:32,06:00:26,180.2 km,00:05:03,03:45:41,42.2 km,11:19:58
Ruben Gomez,---,1401,---,967,35-39,---,---,MEX,---,---,01:25:53,3.9 km,00:10:00,06:13:25,180.2 km,00:06:27,04:37:49,42.2 km,12:33:34
Carlos Gomez-Espinosa,---,1878,---,968,35-39,---,---,MEX,---,---,01:23:39,3.9 km,00:08:33,06:49:43,180.2 km,00:05:55,05:55:15,42.2 km,14:23:05
Jörg Gondermann,---,351,---,1470,40-44,---,---,DEU,---,---,01:00:21,3.9 km,00:11:08,05:37:56,180.2 km,00:05:33,03:31:00,42.2 km,10:25:58
Chris Gonter,---,995,---,1471,40-44,---,---,DEU,---,---,01:03:21,3.9 km,00:04:40,06:09:02,180.2 km,00:03:54,04:17:57,42.2 km,11:38:54
